Minnesota Vikings,815,743,26,2,8

Chicago Bears,801,766,17,4,2

Green Bay Packers,770,792,22,4,1

Detroit Lions,768,801,15,1,4

Philadelphia Eagles,812,748,24,1,4

Dallas Cowboys,785,780,19,3,2

Washington Redskins,777,788,19,1,4

New York Giants,775,797,12,5,1

Atlanta Falcons,792,776,16,3,5

Tampa Bay Buccaneers,786,779,19,2,2

New Orleans Saints,768,798,18,2,2

Carolina Panthers,753,812,19,2,4

Los Angeles Rams,813,763,8,2,5

Arizona Cardinals,801,767,16,5,5

San Francisco 49ers,799,766,19,5,4

Seattle Seahawks,774,804,6,2,3

Cleveland Browns,795,768,21,6,2

Baltimore Ravens,795,776,13,3,0

Pittsburgh Steelers,785,779,20,3,1

Cincinatti Bengals,743,812,29,4,4

Buffalo Bills,810,760,14,4,1

New York Jets,806,757,21,3,3

Miami Dolphins,767,798,19,2,2

New England Patriots,753,812,19,2,4

Houston Texans,796,769,19,5,6

Jacksonville Jaguars,778,785,21,3,1

Indianapolis Colts,773,798,13,2,6

Tennesee Titans,769,796,19,3,2

Oakland Raiders,787,783,14,4,4

Denver Broncos,779,789,16,2,5

Kansas City Chiefs,779,791,14,5,2

Los Angeles Chargers,760,811,13,5,1

